`,,,,,,"* Extended Area Surcharge or Remote Area Surcharge may be applicable to specific points within this country. For more details, please visit ups.com or contact our Customer Service Representatives at Toll Free 1800-22-7171 or 1800-102-7171. / Email ID : UPS INDIA CSC <custsvcinen@ups.com>"
2026 Zone Guide  - EXPORT,,,2026 Zone Guide  - IMPORT,,,
Countries and Territories,Zone,,Countries and Territories,Zone,,
Afghanistan,8,,Afghanistan,9,,
Aland Island (Finland)*,6,,Aland Island (Finland)*,7,,
Albania,8,,Albania,9,,
Algeria,7,,Algeria,9,,
American Samoa,7,,American Samoa,8,,
Andorra,4,,Andorra,-,,
Angola,8,,Angola,8,,
Anguilla,7,,Anguilla,8,,
Antigua and Barbuda,7,,Antigua and Barbuda,8,,
Argentina*,7,,Argentina*,8,,
Armenia,8,,Armenia,9,,
Aruba,7,,Aruba,8,,
Australia*,Special Rate,,Australia*,2,,
Austria*,6,,Austria*,6,,
Azerbaijan,8,,Azerbaijan,9,,
Azores (Portugal)*,6,,Azores (Portugal)*,7,,
Bahamas*,7,,Bahamas*,8,,
Bahrain,3,,Bahrain,3,,
Bangladesh*,1,,Bangladesh*,3,,
Barbados,7,,Barbados,8,,
Belarus/ Byelorussia*,8,,Belarus/ Byelorussia*,9,,
Belgium,4,,Belgium,6,,
Belize,7,,Belize,-,,
Benin,7,,Benin,9,,
Bermuda,7,,Bermuda,8,,
Bhutan,7,,Bhutan,8,,
Bolivia,7,,Bolivia,8,,
"Bonaire, St. Eustatius, Saba",7,,"Bonaire, St. Eustatius, Saba",8,,
Bosnia and Herzegovina,8,,Bosnia and Herzegovina,9,,
Botswana,7,,Botswana,9,,
Brazil*,7,,Brazil*,8,,
British Virgin Islands,7,,British Virgin Islands,8,,
Brunei*,7,,Brunei*,8,,
Buesingen (Germany)*,4,,Buesingen (Germany)*,-,,
Bulgaria,7,,Bulgaria,8,,
Burkina Faso,7,,Burkina Faso,9,,
Burundi,7,,Burundi,9,,
Cambodia*,7,,Cambodia*,8,,
Cameroon,7,,Cameroon,8,,
Campione/ Lake Lugano (Italy)*,4,,Campione/ Lake Lugano (Italy)*,6,,
Canada*,5,,Canada*,5,,
Canary Islands (Spain)*,4,,Canary Islands (Spain)*,6,,
Cape Verde,8,,Cape Verde,9,,
Cayman Islands,7,,Cayman Islands,8,,
Central African Republic,7,,Central African Republic,-,,
Ceuta (Spain)*,4,,Ceuta (Spain)*,-,,
Chad,7,,Chad,9,,
Chile*,7,,Chile*,8,,
China (postal codes 000000-329999),3,,China (postal codes 000000-329999),4,,
China (postal codes 370000-399999),3,,China (postal codes 370000-399999),4,,
China (postal codes 430000-450320),3,,China (postal codes 430000-450320),4,,
China (postal codes 450322-509999),3,,China (postal codes 450322-509999),4,,
China (postal codes 550000-569999),3,,China (postal codes 550000-569999),4,,
China (postal codes 580000-617299),3,,China (postal codes 580000-617299),4,,
China (postal codes 617301-649999),3,,China (postal codes 617301-649999),4,,
 China (postal codes 680000-869999) ,3,,China (postal codes 680000-869999),4,,
