DOC,1,2,3,4,5,6,7,8,9,10
0.5 ,1217,1330,1481,1891,1891,1437,1276,1475,2137,2277
1.0 ,1490,1655,1846,1891,1934,1664,1476,1656,2515,2788
1.5 ,1763,1979,2212,2187,2316,1890,1678,1799,2892,3297
2.0 ,2036,2304,2579,2483,2699,2116,1880,1941,3269,3806
NON DOC,1,2,3,4,5,6,7,8,9,10
0.5,1342,1700,1853,1891,1948,1437,1283,1475,2317,2764
1.0,1667,2011,2203,2176,2316,1664,1481,1656,2710,3282
1.5,1919,2323,2553,2511,2684,1890,1683,1799,3103,3801
2.0,2171,2634,2902,2846,3051,2116,1886,1941,3495,4320
2.5,2423,2945,3252,3182,3420,2343,2088,2142,3888,4839
3.0,2644,3220,3602,3465,3788,2568,2361,2370,4281,5359
3.5,2864,3495,3951,3749,4157,2794,2634,2598,4674,5879
4.0,3085,3771,4301,4032,4526,3020,2907,2826,5066,6399
4.5,3305,4046,4650,4316,4894,3246,3180,3053,5459,6918
5.0,3526,4321,5000,4599,5263,3471,3453,3281,5852,7438
5.5,3649,4443,5217,4722,5496,3780,3570,3442,6161,7848
6.0,3772,4564,5435,4845,5729,4088,3688,3623,6471,8257
6.5,3894,4686,5652,4968,5962,4395,3805,3803,6781,8667
7.0,4017,4808,5870,5090,6195,4703,3923,3984,7091,9076
7.5,4140,4930,6087,5213,6428,5011,4040,4164,7400,9486
8.0,4263,5052,6304,5336,6661,5318,4158,4345,7710,9895
8.5,4386,5173,6522,5459,6894,5626,4276,4526,8020,10305
9.0,4509,5295,6739,5582,7127,5934,4393,4706,8330,10714
9.5,4632,5417,6956,5705,7361,6241,4511,4887,8639,11124
10.0,4754,5539,7174,5828,7594,6549,4628,5067,8949,11533
10.5,4876,5660,7325,5950,7761,6765,4836,5339,9310,11922
11.0,4998,5780,7476,6073,7928,6981,5044,5611,9672,12310
11.5,5120,5901,7627,6196,8094,7198,5252,5883,10033,12699
12.0,5242,6022,7778,6319,8261,7414,5460,6155,10394,13087
12.5,5363,6143,7930,6442,8428,7630,5668,6427,10755,13476
13.0,5485,6263,8081,6565,8595,7847,5876,6699,11116,13864
13.5,5607,6384,8232,6687,8762,8063,6084,6971,11478,14253
14.0,5729,6505,8383,6810,8929,8279,6292,7243,11839,14641
14.5,5851,6626,8534,6933,9096,8496,6500,7515,12200,15030
15.0,5972,6746,8686,7056,9263,8712,6707,7787,12561,15418
15.5,6094,6867,8837,7179,9430,8928,6915,8059,12922,15807
16.0,6216,6988,8988,7302,9597,9144,7123,8331,13284,16195
16.5,6338,7109,9139,7425,9764,9361,7331,8603,13645,16584
17.0,6460,7229,9290,7547,9931,9577,7539,8875,14006,16972
17.5,6581,7350,9442,7670,10098,9793,7747,9147,14367,17361
18.0,6703,7471,9593,7793,10265,10010,7955,9419,14728,17749
18.5,6825,7592,9744,7916,10432,10226,8163,9690,15090,18138
19.0,6947,7712,9895,8039,10599,10442,8371,9962,15451,18526
19.5,7069,7833,10046,8162,10766,10659,8579,10234,15812,18915
20.0,7190,7954,10198,8285,10933,10875,8786,10506,16173,19303
21.0,7739,8577,11118,9026,11881,11260,9060,10903,17045,21497
22.0,8289,9201,12040,9767,12830,11642,9337,11300,18374,23128
23.0,8839,9825,12962,10508,13779,12025,9613,11697,19703,24760
24.0,9389,10449,13884,11250,14728,12407,9889,12094,21033,26392
25.0,9939,11072,14806,11991,15678,12789,10165,12491,22362,28023
26.0,10490,11696,15728,12732,16627,13171,10441,12888,23691,29655
27.0,11040,12320,16650,13474,17576,13553,10717,13285,25020,31287
28.0,11590,12943,17572,14215,18525,13936,10994,13682,26350,32919
29.0,12140,13567,18494,14956,19474,14318,11270,14078,27679,34550
30.0,12690,14191,19416,15698,20424,14700,11546,14475,29008,36182
Multiplier,1,2,3,4,5,6,7,8,9,10
30.1 ,378,424,435,358,488,459,396,484,820,835
50.1 ,356,391,402,358,469,459,365,453,820,835
70.1 ,335,358,369,355,448,449,313,453,819,833
100.1 ,303,307,314,355,390,449,313,453,819,833
300.1 ,293,294,300,355,378,449,341,519,819,833
500.1 ,282,294,300,354,369,449,341,519,819,833
