DOC,1,2,3,4,5,6,7,8,9,10
0.5 ,3338,4141,4354,4449,4823,4940,4616,4698,5983,7042
1.0 ,4262,5391,5700,5750,6333,6428,5996,5917,8154,9030
1.5 ,5040,6446,6857,6938,7612,7667,6962,6909,9489,10677
2.0 ,5818,7501,8014,8126,8891,8906,7928,7901,10824,12324
NON DOC,1,2,3,4,5,6,7,8,9,10
0.5 ,4133,5456,5747,5983,6139,6328,5877,6044,7392,8558
1.0 ,5379,6746,7175,7378,7678,7791,6792,6984,9757,10614
1.5 ,6190,7779,8278,8500,8826,8954,7707,7926,11071,12261
2.0 ,7001,8812,9381,9622,9974,10117,8622,8868,12385,13908
2.5 ,7811,9845,10497,10744,11123,11280,9537,9810,13700,15555
3.0 ,8435,10625,11412,11659,12064,12275,10382,10691,14904,17101
3.5 ,9059,11405,12327,12574,13005,13270,11227,11572,16108,18647
4.0 ,9683,12185,13242,13489,13946,14265,12072,12453,17312,20193
4.5 ,10307,12965,14157,14404,14887,15260,12917,13334,18516,21739
5.0 ,10931,13745,15072,15319,15828,16255,13762,14215,19720,23285
5.5 ,11303,14194,15720,15979,16510,16924,14444,14954,20753,24588
6.0 ,11675,14643,16368,16639,17192,17593,15126,15693,21786,25891
6.5 ,12047,15092,17016,17299,17874,18262,15808,16432,22819,27194
7.0 ,12419,15541,17664,17959,18556,18931,16490,17171,23852,28497
7.5 ,12791,15990,18312,18619,19238,19600,17172,17910,24885,29800
8.0 ,13163,16439,18960,19279,19920,20269,17854,18649,25918,31103
8.5 ,13535,16888,19608,19939,20602,20938,18536,19388,26951,32406
9.0 ,13907,17337,20256,20599,21284,21607,19218,20127,27984,33709
9.5 ,14279,17786,20904,21259,21966,22276,19900,20866,29017,35012
10.0 ,14651,18235,21552,21919,22648,22945,20582,21605,30050,36315
10.5 ,15084,18546,22059,22415,23151,23485,21065,22233,30915,37247
11.0 ,15517,18857,22566,22911,23654,24025,21548,22861,31780,38179
11.5 ,15950,19168,23073,23407,24157,24565,22031,23489,32645,39111
12.0 ,16383,19479,23580,23903,24660,25105,22514,24117,33510,40043
12.5 ,16816,19790,24087,24399,25163,25645,22997,24745,34375,40975
13.0 ,17249,20101,24594,24895,25666,26185,23480,25373,35240,41907
13.5 ,17682,20412,25101,25391,26169,26725,23963,26001,36105,42839
14.0 ,18115,20723,25608,25887,26672,27265,24446,26629,36970,43771
14.5 ,18548,21034,26115,26383,27175,27805,24929,27257,37835,44703
15.0 ,18981,21345,26622,26879,27678,28345,25412,27885,38700,45635
15.5 ,19414,21656,27129,27375,28181,28885,25895,28513,39565,46567
16.0 ,19847,21967,27636,27871,28684,29425,26378,29141,40430,47499
16.5 ,20280,22278,28143,28367,29187,29965,26861,29769,41295,48431
17.0 ,20713,22589,28650,28863,29690,30505,27344,30397,42160,49363
17.5 ,21146,22900,29157,29359,30193,31045,27827,31025,43025,50295
18.0 ,21579,23211,29664,29855,30696,31585,28310,31653,43890,51227
18.5 ,22012,23522,30171,30351,31199,32125,28793,32281,44755,52159
19.0 ,22445,23833,30678,30847,31702,32665,29276,32909,45620,53091
19.5 ,22878,24144,31185,31343,32205,33205,29759,33537,46485,54023
20.0 ,23311,24455,31692,31839,32708,33745,30242,34165,47350,54955
21.0 ,24069,25494,32745,32893,34300,35221,31707,35653,48779,57303
22.0 ,24827,26533,33798,33947,35892,36697,33172,37141,50208,59651
23.0 ,25585,27572,34851,35001,37484,38173,34637,38629,51637,61999
24.0 ,26343,28611,35904,36055,39076,39649,36102,40117,53066,64347
25.0 ,27101,29650,36957,37109,40668,41125,37567,41605,54495,66695
26.0 ,27859,30689,38010,38163,42260,42601,39032,43093,55924,69043
27.0 ,28617,31728,39063,39217,43852,44077,40497,44581,57353,71391
28.0 ,29375,32767,40116,40271,45444,45553,41962,46069,58782,73739
29.0 ,30133,33806,41169,41325,47036,47029,43427,47557,60211,76087
30.0 ,30891,34845,42222,42379,48628,48505,44892,49045,61640,78435
Multiplier,1,2,3,4,5,6,7,8,9,10
30.1 ,997,1129,1363,1368,1602,1609,1513,1624,1988,2542
50.1 ,997,1129,1363,1368,1602,1609,1513,1624,1988,2542
70.1 ,958,1072,1296,1317,1529,1531,1492,1638,1939,2476
100.1 ,958,1072,1296,1317,1529,1531,1492,1638,1939,2476
300.1 ,963,1082,1305,1328,1540,1545,1501,1679,1974,2496
500.1 ,963,1082,1305,1328,1540,1545,1501,1679,1974,2496
